table,row_count,category,reasoning
URL,1,skip,system config
ELMAH_Error,0,skip,error log
MobileAppTrack,0,skip,app usage tracking
MobileMACAddress,0,skip,app usage tracking
mstAppAgentVersion,0,skip,system version info
mstAppArticles,0,skip,content articles
mstAppCCFeedback,0,skip,feedback records
mstAppEcommercePrices,0,skip,e-commerce pricing
mstAppHVDevicesReg,0,skip,device registration
mstAppOrganisation,0,skip,organisation config
mstAppParameters,0,skip,system parameters
mstAppReferal,0,skip,referral system
mstAPPReferalContacts,0,skip,referral contacts
mstAppReportInfo,0,skip,report metadata
mstAppVersion,0,skip,app version
mstCCAppVersion,0,skip,app version tracking
mstCCIDProof,0,skip,ID proof reference
mstChangepw_CC,0,skip,password change log
mstChangepw_Track,0,skip,password change log
mstDisease,0,skip,disease lookup
mstDiseaseInvDtls,0,skip,disease inventory mapping
mstDiseases,0,skip,disease lookup
mstDocOTPGen,0,skip,OTP generation
mstInActiveMenuItems,0,skip,inactive menu items
mstMACAddress,0,skip,MAC address config
mstOrganisation1,0,skip,organization config
mstOrganisationType,0,skip,org type lookup
mstOrgDocs,0,skip,org documents
mstPatientGetDataSent,0,skip,sent message log
mstPaymentGateWayResponse,0,skip,gateway response log
mstPaymentGatewayTemp,0,skip,temporary payment data
mstPayumoneyGatewayResponse,0,skip,gateway response log
mstPharmaSettings,0,skip,pharmacy config
mstProcWiseActivities,0,skip,procedure activity log
mstPromotionalSMS,0,skip,SMS template
mstReportPrintSettings,0,skip,report print config
mstscrolltext1,0,skip,UI scroll text
mstScrollText5,0,skip,UI scroll text
mstSMSTemplate1,0,skip,SMS template
mstSMSTemplate2,0,skip,SMS template
mstSMSTemplateBackup,0,skip,SMS template backup
mstSpecializationSMS,0,skip,specialization SMS config
mstTokenExp,0,skip,token expiry
mstVersion,0,skip,system version
mstVoccutainer,0,skip,voucher container config
mstVoccutainerMapping,0,skip,voucher mapping
mstWhatsappSMSPromo,0,skip,promo messages
mstWHMenuItems_CC_1,0,skip,menu items
mstwhuserrights1,0,skip,user rights
sqlmapoutput,0,skip,system log output
sysdiagrams,0,skip,system diagram metadata
tbl_Mob_App_FeedBack,0,skip,non-clinical patient feedback
tblCallStatus,0,skip,call status config
tblCCMenuItems1,0,skip,UI menu
tblccref,0,skip,reference mapping
tblCCScrollEntry,0,skip,scroll config
TBLCOMPCODE,0,skip,company code mapping
TBLCOMPCODELATEST1,0,skip,code mapping
tblConcernedForms,0,skip,form list
tblCourierItems,0,skip,courier items
tblExport,0,skip,export config
tblLDSLAddress,0,skip,address config
tblLegalSettings,0,skip,legal config
tblmachineparameters,0,skip,machine config
TBLREFDOC,0,skip,reference docs config
tblRequestForm,0,skip,request form config
tblScrollEntry,0,skip,scroll text config
tblShipmentType,0,skip,shipment type config
trnDashBoard,0,skip,system dashboard
trnDashBoardReports,0,skip,system dashboard
trnMachineAutoAuthLog,0,skip,machine auth log
trnNewMessages,0,skip,system message log
trnParamAntibiotics_Inv,0,skip,antibiotic parameters
trnParameter1,0,skip,parameter
trnParameterCalculation,0,skip,parameter calculation
trnParamResult_InchargeAudit,0,skip,lab results audit
trnRptEmailSentLog,0,skip,email log
trnUserLog_CC,0,skip,user login log
trnWhatsAppStatusTrack,0,skip,WhatsApp status tracking
mstAppDevices_Log,0,skip,heuristic: looks like a dated/backup/log table
mstInvestigationsDtls09012020,0,skip,heuristic: looks like a dated/backup/log table
mstOLTestParamsMapping_Log,0,skip,heuristic: looks like a dated/backup/log table
TBLMACHPARAMBAK,0,skip,heuristic: looks like a dated/backup/log table
tempCCInvRates,0,skip,heuristic: looks like a dated/backup/log table
tempHeaderText,0,skip,heuristic: looks like a dated/backup/log table
tempLocInvRates,0,skip,heuristic: looks like a dated/backup/log table
TempTableGenReports,0,skip,heuristic: looks like a dated/backup/log table
trnBillingCycleRates_Log,0,skip,heuristic: looks like a dated/backup/log table
trnCC_DescResult_Temp,0,skip,heuristic: looks like a dated/backup/log table
trnCCPayments17112020,0,skip,heuristic: looks like a dated/backup/log table
trnDescResult_Audit,0,skip,heuristic: looks like a dated/backup/log table
trnDescResult_Temp,0,skip,heuristic: looks like a dated/backup/log table
trnFormDeptInvMapping_Log,0,skip,heuristic: looks like a dated/backup/log table
trnINVLABPRI_08092020,0,skip,heuristic: looks like a dated/backup/log table
trnITUtilities_Temp,0,skip,heuristic: looks like a dated/backup/log table
trnTempDates,0,skip,config (retry)
trnTempResponseCredentials,0,skip,credentials (retry)
mstLocationUsers,4317,staff,user to location mapping
mstRoleDtls,4086,staff,role details
mstLocAuthorisation,823,staff,location authorisation
mstAppAgentStatus,166,staff,agent status tracking
mstRoles,60,staff,role definitions
mstEmpMapping_ASM,44,staff,user-employee mapping
tblAgentAppDeviceRegistration,40,staff,agent device registration
mstEmpTarget,25,staff,employee target
mstAppAgentAreaMapping,21,staff,agent area assignments
mstAgentMaster,12,staff,staff master
trnDeptComplaint,10,staff,inter-department complaint
mstDesignation,7,staff,staff role lookup
mstAppAgentLeaves,4,staff,agent leave records
mstReferenceSource,4,staff,source reference for staff
mstMapTechDoc,3,staff,tech authorization mapping
tblAppAgentNotification,3,staff,agent notifications
mstAppBMs,2,staff,branch manager info
mstEmpMapping_GM,2,staff,user-employee mapping
mstEmpMapping_RSM,2,staff,user-employee mapping
mstRejectReason,2,staff,rejection reason lookup
mstShifts,1,staff,shift schedule
tbl_CallUsers,1,staff,user account information
mstAgentLeaves,0,staff,staff leave records
mstAppAgentAssignDispatchOrders,0,staff,agent dispatch assignments
mstEmpAdvances,0,staff,employee advance
mstEmpExpenditure,0,staff,employee expense
mstEmpLeaves,0,staff,employee leave
mstEmpPlans,0,staff,employee plan
mstEmpSchedules,0,staff,employee schedule
mstEmpTasks,0,staff,employee task
mstRouteBoy,0,staff,personnel for sample transport
tblMobileAppReg,0,staff,user registration
trnRouteBoyMarkMapping,0,staff,route boy mapping
trnCCUserMapping,0,staff,user mapping (retry)
trnCertificates,0,staff,employee certificates (retry)
trnEmpMapping,0,staff,employee mapping (retry)
